Make,Model,Trim,Year,Mileage,Price,VIN,url
Jeep,Wrangler,Rubicon Convertible SUV,2012,"78,832 miles","$24,998",1C4BJWCG8CL257959,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWCG8CL257959/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"76,567 miles","$24,995",1C4BJWDG3CL229226,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG3CL229226/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2008,"121,818 miles","$19,092",1J4GA59168L532085,https://www.edmunds.com/jeep/wrangler/2008/vin/1J4GA59168L532085/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2011,"71,464 miles","$20,556",1J4AA2D12BL520423,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4AA2D12BL520423/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"84,352 miles","$24,988",1C4BJWDG9CL185135,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG9CL185135/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2011,"82,864 miles","$24,590",1J4BA3H19BL508449,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4BA3H19BL508449/?radius=50
Jeep,Wrangler,Unlimited X Convertible SUV,2008,"106,508 miles","$18,995",1J4GA39118L509060,https://www.edmunds.com/jeep/wrangler/2008/vin/1J4GA39118L509060/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"91,801 miles","$24,990",1C4BJWDG2CL141848,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG2CL141848/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"73,637 miles","$26,990",1C4BJWDG5CL258372,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG5CL258372/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2012,"69,047 miles","$26,998",1C4AJWAG2CL110194,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4AJWAG2CL110194/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"133,388 miles","$19,653",1C4BJWDG6CL196321,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG6CL196321/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2012,"83,062 miles","$17,450",1C4AJWAG3CL128896,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4AJWAG3CL128896/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2012,"87,099 miles","$20,996",1C4GJWAG3CL150505,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4GJWAG3CL150505/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2012,"127,223 miles","$20,998",1C4AJWAG2CL217911,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4AJWAG2CL217911/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2012,"79,406 miles","$23,998",1C4AJWAG1CL255243,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4AJWAG1CL255243/?radius=50
Jeep,Wrangler,Sahara Convertible SUV,2012,"97,870 miles","$25,998",1C4AJWBG2CL221245,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4AJWBG2CL221245/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2011,"67,014 miles","$25,998",1J4GA2D1XBL524567,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4GA2D1XBL524567/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2002,"106,281 miles","$8,999",1J4FA49S02P773574,https://www.edmunds.com/jeep/wrangler/2002/vin/1J4FA49S02P773574/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"112,320 miles","$16,971",1C4BJWDG1CL220427,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG1CL220427/?radius=50
Jeep,Wrangler,Unlimited Convertible SUV,2006,"125,655 miles","$13,990",1J4FA44S26P775467,https://www.edmunds.com/jeep/wrangler/2006/vin/1J4FA44S26P775467/?radius=50
Jeep,Wrangler,Unlimited Convertible SUV,2004,"116,164 miles","$12,500",1J4FA49S94P761541,https://www.edmunds.com/jeep/wrangler/2004/vin/1J4FA49S94P761541/?radius=50
Jeep,Wrangler,Unlimited Rubicon Convertible SUV,2009,"140,000 miles","$13,999",1J8GA69159L719162,https://www.edmunds.com/jeep/wrangler/2009/vin/1J8GA69159L719162/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2010,"110,037 miles","$14,795",1J4GA2D10AL117839,https://www.edmunds.com/jeep/wrangler/2010/vin/1J4GA2D10AL117839/?radius=50
Jeep,Wrangler,Sahara Convertible SUV,2009,"134,380 miles","$13,950",1J4FA54139L774935,https://www.edmunds.com/jeep/wrangler/2009/vin/1J4FA54139L774935/?radius=50
Jeep,Wrangler,Rubicon Convertible SUV,2010,"91,104 miles","$16,997",1J4BA6D11AL204490,https://www.edmunds.com/jeep/wrangler/2010/vin/1J4BA6D11AL204490/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2012,"123,730 miles","$13,966",1C4BJWEG8CL175775,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWEG8CL175775/?radius=50
Jeep,Wrangler,Sahara Convertible SUV,2009,"49,829 miles","$20,000",1J8FA54149L744776,https://www.edmunds.com/jeep/wrangler/2009/vin/1J8FA54149L744776/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2011,"42,954 miles","$25,890",1J4HA5H13BL628155,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4HA5H13BL628155/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2011,"93,332 miles","$17,999",1J4AA2D14BL566061,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4AA2D14BL566061/?radius=50
Jeep,Wrangler,Unlimited Rubicon Convertible SUV,2007,"118,759 miles","$17,495",1J4GA69167L211801,https://www.edmunds.com/jeep/wrangler/2007/vin/1J4GA69167L211801/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2010,"120,364 miles","$17,495",1J4HA3H16AL193540,https://www.edmunds.com/jeep/wrangler/2010/vin/1J4HA3H16AL193540/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2011,"138,798 miles","$18,990",1J4BA3H15BL624019,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4BA3H15BL624019/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2011,"102,234 miles","$19,896",1J4HA5H14BL572873,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4HA5H14BL572873/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"129,294 miles","$17,499",1C4BJWDG3CL217142,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWDG3CL217142/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2012,"141,907 miles","$19,995",1C4HJWEG9CL189078,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4HJWEG9CL189078/?radius=50
Jeep,Wrangler,Unlimited Sahara Convertible SUV,2010,"124,696 miles","$17,990",1J4BA5H14AL192811,https://www.edmunds.com/jeep/wrangler/2010/vin/1J4BA5H14AL192811/?radius=50
Jeep,Wrangler,Unlimited Sport Convertible SUV,2012,"102,069 miles","$23,999",1C4HJWDG7CL166318,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4HJWDG7CL166318/?radius=50
Jeep,Wrangler,Sahara Convertible SUV,2008,"138,754 miles","$13,219",1J4FA541X8L650157,https://www.edmunds.com/jeep/wrangler/2008/vin/1J4FA541X8L650157/?radius=50
Jeep,Wrangler,Sport Convertible SUV,2011,"162,489 miles","$12,950",1J4AA2D13BL628307,https://www.edmunds.com/jeep/wrangler/2011/vin/1J4AA2D13BL628307/?radius=50
Jeep,Wrangler,Unlimited Rubicon Convertible SUV,2012,"5,600 miles","$41,998",1C4BJWFG1CL189242,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWFG1CL189242/?radius=50
Jeep,Wrangler,Rubicon Convertible SUV,2012,"78,832 miles","$24,998",1C4BJWCG8CL257959,https://www.edmunds.com/jeep/wrangler/2012/vin/1C4BJWCG8CL257959/?radius=50
